STT,Thời gian,Nhóm ID,Tác giả,User ID,Post ID,Keywords,URL,Nội dung
1,21:32:48 19/11/2025,398556705791228,"Unknown",61581287830096,1133377475642477,"mua",https://www.facebook.com/groups/398556705791228/posts/1133377475642477/,"Trang Hà Dạ vẫn được bác ạ bác cứ mua đi ạ 36 phút Thích Trả lời Chia sẻ"
2,21:32:42 19/11/2025,398556705791228,"Unknown",61583185902153,1131502045830020,"cần tìm",https://www.facebook.com/groups/398556705791228/posts/1131502045830020/,"Xanh SM - Platform Miền Nam    ·  Theo dõi Anh/chị có xe máy điện Vinfast Đang cần tìm hiểu/ đăng ký Bike PlatForm Ib ngay cho Page được hỗ trợ tư vấn 7 giờ Thích Trả lời Chia sẻ"
3,21:32:42 19/11/2025,398556705791228,"Unknown",100033826188149,1133388698974688,"mua",https://www.facebook.com/groups/398556705791228/posts/1133388698974688/,"Long Trần Nên mua Vento S cho ngon 17 phút Thích Trả lời Chia sẻ"
4,17:54:11 19/11/2025,398556705791228,"Unknown",100011882139963,1133101349003423,"mua",https://www.facebook.com/groups/398556705791228/posts/1133101349003423/,"Nông Thôn Định mua xe hãng này mà thấy mn có vẻ ít người hài lòng về nó. Mua về phải độ chế các kiểu. 4 giờ Thích Trả lời Chia sẻ Đã chỉnh sửa 3"
